City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Darnah,59,LY,1607801116,68,32.77,22.64,61.16,32.53
Bubaque,0,GW,1607801116,63,11.28,-15.83,82.24,14.27
Tarija,48,BO,1607801081,32,-21.54,-64.73,85.33,12.17
Port Hawkesbury,75,CA,1607801116,80,45.62,-61.35,37.0,9.17
Punta Arenas,40,CL,1607800930,46,-53.15,-70.92,53.6,28.86
Tuatapere,92,NZ,1607801116,78,-46.13,167.68,51.01,11.01
Ulaanbaatar,40,MN,1607801116,67,47.91,106.88,-23.8,2.71
Hobart,75,AU,1607801117,81,-42.88,147.33,53.6,8.05
Hong Kong,100,HK,1607801057,85,22.29,114.16,69.01,1.01
Nikel,77,RU,1607801117,92,69.41,30.22,21.2,25.28
Tasiilaq,100,GL,1607801117,89,65.61,-37.64,34.05,32.57
Leshukonskoye,100,RU,1607801117,97,64.9,45.76,15.75,3.83
Sinnamary,100,GF,1607801117,72,5.38,-52.95,82.76,7.2
Mataura,100,NZ,1607801117,78,-46.19,168.86,51.01,11.01
Sucúa,75,EC,1607801117,88,-2.47,-78.17,71.6,3.2
Usinsk,100,RU,1607801117,95,65.99,57.53,7.99,12.1
San Lorenzo,40,PY,1607801118,44,-25.33,-57.53,96.8,12.75
Avarua,6,CK,1607801118,78,-21.21,-159.78,82.4,5.82
Mount Gambier,100,AU,1607801118,28,-37.83,140.77,71.6,14.99
Albany,100,US,1607800819,79,42.6,-73.97,39.99,2.71
Antofagasta,20,CL,1607800843,64,-23.65,-70.4,71.01,17.22
Hermanus,61,ZA,1607801118,80,-34.42,19.23,64.0,10.02
Mosquera,40,CO,1607801118,59,4.71,-74.23,64.4,13.87
Cherëmukhovo,100,RU,1607801118,89,60.35,59.99,17.2,4.18
New Norfolk,100,AU,1607801118,72,-42.78,147.06,52.0,1.99
Tura,100,IN,1607801118,84,25.52,90.22,59.99,1.34
Puerto Ayora,20,EC,1607801118,65,-0.74,-90.35,82.4,23.04
Port Alfred,100,ZA,1607801119,95,-33.59,26.89,64.0,9.15
São João da Barra,20,BR,1607801119,70,-21.64,-41.05,84.2,13.87
Chui,48,UY,1607801119,36,-33.7,-53.46,81.14,8.32
Camacha,75,PT,1607801119,72,33.08,-16.33,62.6,8.05
Bredasdorp,0,ZA,1607801119,77,-34.53,20.04,62.6,2.24
Saldanha,44,ZA,1607801119,52,-33.01,17.94,64.4,12.75
Atuona,1,PF,1607801119,72,-9.8,-139.03,78.49,19.13
Busselton,100,AU,1607801119,97,-33.65,115.33,61.0,1.99
Tuktoyaktuk,75,CA,1607801119,74,69.45,-133.04,-27.4,3.36
Ribeira Grande,40,PT,1607801120,77,38.52,-28.7,62.6,27.51
Qaanaaq,99,GL,1607801120,79,77.48,-69.36,17.26,7.7
Barrow,1,US,1607801120,70,71.29,-156.79,-2.2,28.86
Laas,40,IT,1607801120,86,46.62,10.7,34.0,4.7
George Town,40,MY,1607801120,88,5.41,100.34,77.0,3.36
Mahbūbābād,0,IN,1607801120,79,17.62,80.02,67.91,4.81
Camopi,2,GF,1607801120,40,3.17,-52.32,92.17,5.61
Saint Paul Harbor,90,US,1607801120,86,57.79,-152.41,41.0,14.99
Grindavik,75,IS,1607801120,75,63.84,-22.43,42.8,21.92
Puerto Limón,0,CR,1607801120,70,10.0,-83.03,84.2,5.82
Rikitea,100,PF,1607801121,76,-23.12,-134.97,76.93,15.64
Aklavik,5,CA,1607801121,66,68.22,-135.01,-32.8,3.36
Kapaa,20,US,1607801121,69,22.08,-159.32,80.6,11.41
Korla,98,CN,1607800833,84,41.76,86.15,23.52,5.06
Khatanga,100,RU,1607801121,85,71.97,102.5,-19.03,11.52
Yellowknife,20,CA,1607800837,68,62.46,-114.35,-18.0,16.11
Butaritari,69,KI,1607801121,79,3.07,172.79,80.01,12.82
Lorengau,91,PG,1607801121,75,-2.02,147.27,82.65,6.71
Bowen,100,AU,1607801121,83,-20.02,148.23,73.4,8.05
Leningradskiy,100,RU,1607801121,95,69.38,178.42,10.71,8.05
Vaini,75,TO,1607801122,88,-21.2,-175.2,78.8,11.41
Imbituba,75,BR,1607801025,78,-28.24,-48.67,75.2,23.04
Ushuaia,89,AR,1607801122,51,-54.8,-68.3,48.47,8.9
Fukuechō,1,JP,1607801122,45,32.69,128.84,54.9,9.55
Hilo,90,US,1607801122,73,19.73,-155.09,75.99,3.36
Bambous Virieux,75,MU,1607801122,83,-20.34,57.76,75.2,11.41
Verkhoyansk,25,RU,1607801122,79,67.54,133.38,-41.89,1.07
Plavsk,98,RU,1607801122,97,53.71,37.29,24.78,15.68
Jamestown,90,US,1607800827,62,42.1,-79.24,51.8,11.41
Bluff,87,NZ,1607801123,78,-46.6,168.33,51.01,11.01
Nuristan,100,AF,1607801123,96,35.3,70.83,6.28,5.12
Mahébourg,75,MU,1607801123,83,-20.41,57.7,75.2,11.41
Gamba,100,GA,1607801123,89,-2.65,10.0,78.44,6.98
Upernavik,11,GL,1607801123,74,72.79,-56.15,14.7,3.62
Chokurdakh,99,RU,1607801123,83,70.63,147.92,-33.11,5.03
Beringovskiy,100,RU,1607801123,93,63.05,179.32,21.87,23.04
Simbahan,100,PH,1607801123,70,6.3,120.58,83.34,3.69
Port Augusta,90,AU,1607801123,78,-32.5,137.77,78.01,3.36
Tynda,32,RU,1607801123,79,55.17,124.72,-33.3,2.86
Cape Town,0,ZA,1607800961,68,-33.93,18.42,66.99,13.87
Unguía,100,CO,1607801124,65,8.04,-77.09,86.38,6.78
Qaqortoq,75,GL,1607801124,62,60.72,-46.03,23.0,2.24
Yangi Marg`ilon,90,UZ,1607801124,92,40.43,71.72,30.2,2.24
Vieste,40,IT,1607801124,93,41.88,16.18,51.01,5.82
Ketchikan,20,US,1607801124,86,55.34,-131.65,32.0,3.51
Alofi,100,NU,1607800831,85,-19.06,-169.92,78.44,28.5
Richards Bay,100,ZA,1607801124,91,-28.78,32.04,73.53,13.31
Souillac,75,MU,1607801124,83,-20.52,57.52,75.2,11.41
Aljezur,94,PT,1607800857,78,37.32,-8.8,60.01,4.54
Esperance,0,AU,1607801125,100,-33.87,121.9,57.2,6.93
Bhag,0,PK,1607801125,37,29.04,67.82,62.49,1.88
Owando,39,CG,1607801125,80,-0.48,15.9,75.34,2.93
Churapcha,100,RU,1607801125,78,62.0,132.43,-45.33,3.13
Arraial do Cabo,75,BR,1607801125,88,-22.97,-42.03,80.6,8.05
Meadow Lake,75,US,1607801125,55,34.8,-106.54,39.0,14.29
